ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
1,24,Russell Westbrook, OKC PG,81,34.6,0.425,0.845,2.5,10.7,10.4,1.92,1.6,0.4,5.4,31.6,77,34,0.43,0.843,1.9,9.1,9.9,2.16,2,0.3,4.6,27.1,0.343,7,62,10.4,8.8
2,18.9,James Harden, Hou SG,81,36.4,0.44,0.847,3.2,8.1,11.2,1.95,1.5,0.5,5.7,29.1,78,35,0.445,0.864,3.2,7,8.7,1.86,1.7,0.5,4.7,27.9,0.347,9,64,10.9,9.2
3,15.7,Giannis Antetokounmpo, Mil SF,80,35.6,0.521,0.77,0.6,8.8,5.4,1.85,1.6,1.9,2.9,22.9,78,36,0.522,0.757,0.6,9.2,5.3,1.82,1.7,1.5,2.9,22.1,0.272,2,32,7.7,5.9
4,16.5,Kevin Durant, GS SF,62,33.4,0.537,0.875,1.9,8.3,4.8,2.17,1.1,1.6,2.2,25.1,66,34,0.524,0.885,2.3,7.8,4.8,1.84,1.1,1.3,2.6,25,0.375,5,23,6.2,5.4
5,17.7,Kawhi Leonard, SA SF,74,33.4,0.485,0.88,2,5.8,3.5,1.69,1.8,0.7,2.1,25.5,76,33,0.486,0.861,1.9,6.6,3.3,1.86,1.9,0.9,1.8,21.5,0.38,5,9,7.2,6.3
6,20.3,Anthony Davis, Nor PF,75,36.1,0.505,0.802,0.5,11.8,2.1,0.87,1.3,2.2,2.4,28,75,36,0.524,0.818,0.7,10.6,2.5,1.26,1.5,2.2,2,25.7,0.299,2,49,8.6,6.9
7,18.3,Stephen Curry, GS PG,79,33.4,0.468,0.898,4.1,4.5,6.6,2.2,1.8,0.2,3,25.3,78,33,0.488,0.909,4.5,4.7,6.8,2.28,2.1,0.2,3,25.5,0.411,10,9,4.6,4.1
8,18,Karl-Anthony Towns, Min C,82,37,0.542,0.832,1.2,12.3,2.7,1.04,0.7,1.3,2.6,25.1,78,37,0.557,0.833,1,12.9,2.8,1.2,0.9,1.4,2.3,22.4,0.367,3,62,5.2,4.3
9,18.2,LeBron James, Cle SF,74,37.8,0.548,0.674,1.7,8.6,8.7,2.13,1.2,0.6,4.1,26.4,77,35,0.519,0.705,1.5,7.4,7.5,2.18,1.4,0.6,3.4,23.1,0.363,5,42,7.2,4.8
10,18.4,John Wall, Wsh PG,78,36.4,0.451,0.801,1.1,4.2,10.7,2.58,2,0.6,4.1,23.1,78,36,0.452,0.809,1.2,4.8,10.3,2.57,2,0.7,4,22.2,0.327,3,50,6.8,5.4
