PLAYER,DBLDBL
"James Harden, SG",64
"Russell Westbrook, PG",62
"Karl-Anthony Towns, C",62
"Hassan Whiteside, C",58
"Rudy Gobert, C",58
"Dwight Howard, C",53
"John Wall, PG",50
"Anthony Davis, PF",49
"Andre Drummond, C",49
"DeMarcus Cousins, C",46
PLAYER,DBLDBL
"LeBron James, SF",42
"Kevin Love, PF",41
"DeAndre Jordan, C",41
"Nikola Jokic, C",39
"Nikola Vucevic, C",38
"Marcin Gortat, C",36
"Giannis Antetokounmpo, SF",32
"Jonas Valanciunas, C",29
"Ricky Rubio, PG",25
"Chris Paul, PG",24
PLAYER,DBLDBL
"Kevin Durant, SF",23
"Zach Randolph, PF",20
"Blake Griffin, PF",19
"Paul Millsap, PF",19
"Mason Plumlee, C",19
"Tristan Thompson, C",19
"LaMarcus Aldridge, PF",18
"Enes Kanter, C",18
"Julius Randle, PF",18
"Elfrid Payton, PG",18
PLAYER,DBLDBL
"Draymond Green, PF",17
"Jrue Holiday, PG",16
"Jeff Teague, PG",16
"Steven Adams, C",16
"Trevor Booker, PF",16
"Jimmy Butler, SG",15
"Nicolas Batum, SG",15
"Myles Turner, C",15
"Clint Capela, C",15
"Alan Williams, PF",15
PLAYER,DBLDBL
"Greg Monroe, C",13
"Jusuf Nurkic, C",13
"Gorgui Dieng, PF",13
"Kristaps Porzingis, PF",12
"Otto Porter Jr., SF",12
"Robert Covington, SF",12
"Tyson Chandler, C",12
"Damian Lillard, PG",11
"Paul George, SF",11
"Kyle Lowry, PG",11
PLAYER,DBLDBL
"Marc Gasol, C",11
"Serge Ibaka, PF",11
"Pau Gasol, C",11
"Marvin Williams, PF",11
"Taj Gibson, PF",11
"Kenneth Faried, PF",11
"Michael Kidd-Gilchrist, SF",11
"Willy Hernangomez, C",11
"Alex Len, C",11
"Dennis Schroder, PG",10
PLAYER,DBLDBL
"Avery Bradley, PG",10
"Ersan Ilyasova, PF",10
"Dario Saric, SF",10
"JaMychal Green, PF",10
"Bismack Biyombo, C",10
"Kawhi Leonard, SF",9
"Stephen Curry, PG",9
